説明(英語),説明(英語)
See alsosetRpropDW0,alsosetRpropDW0参照。
See alsogetRpropDW0,alsogetRpropDW0を参照。
RPROP: Increase factor \(\eta^+\). It must be >1. Default value is 1.2.,RPROP: Increase factor ˶ˆ꒳ˆ˵ )1以上でなければなりません。初期値は1.2です。
See alsosetRpropDWPlus,alsosetRpropDWPlusを参照。
See alsogetRpropDWPlus,See alsogetRpropDWPlus
RPROP: Decrease factor \(\eta^-\). It must be <1. Default value is 0.5.,RPROPDecrease factor ˶ˆ꒳ˆ˵ )<1でなければならない。初期値は0.5です。
See alsosetRpropDWMinus,alsosetRpropDWMinus参照。
See alsogetRpropDWMinus,See alsogetRpropDWMinus
RPROP: Update-values upper limit \(\Delta_{max}\). It must be >1. Default value is 50.,RPROP：Update-values upper limit ˶‾᷅˵‾᷅˵。1以上でなければなりません。初期値は50です。
See alsosetRpropDWMax,alsosetRpropDWMax参照。
See alsogetRpropDWMax,See alsogetRpropDWMax
Creates empty model.,空のモデルを作成します。
"Use StatModel::train to train the model, Algorithm::load<ANN_MLP>(filename) to load the pre-trained model. Note that the train method has optional flags: ANN_MLP::TrainFlags.",モデルをトレーニングするには StatModel::train を、事前にトレーニングされたモデルをロードするには Algorithm::load<ANN_MLP>(filename) を使用してください。trainメソッドにはオプションのフラグがあることに注意してください。ANN_MLP::TrainFlagsです。
Artificial Neural Networks - Multi-Layer Perceptrons. ,人工ニューラルネットワーク - 多層パーセプトロン（Multi-Layer Perceptrons）。
"Unlike many other models in ML that are constructed and trained at once, in the MLP model these steps are separated. First, a network with the specified topology is created using the non-default constructor or the method ANN_MLP::create. All the weights are set to zeros. Then, the network is trained using a set of input and output vectors. The training procedure can be repeated more than once, that is, the weights can be adjusted based on the new training data.",MLの他の多くのモデルが構築と学習を一度に行うのに対し，MLPモデルではこれらのステップが分離されています．まず，デフォルトではないコンストラクタやANN_MLP::createメソッドを使って，指定されたトポロジーのネットワークを作成します．重みはすべてゼロに設定されています。次に，入力ベクトルと出力ベクトルを用いてネットワークを学習します．この学習手順は複数回繰り返すことができ、つまり、新しい学習データに基づいて重みを調整することができます。
Additional flags for StatModel::train are available: ANN_MLP::TrainFlags.,StatModel::train には追加のフラグが用意されています。ANN_MLP::TrainFlagsを参照してください。
See alsoNeural Networks  ,ニューラルネットワーク もご覧ください。
Loads and creates a serialized ANN from a file.,ファイルからシリアル化された ANN を読み込み、作成します。
filepath : path to serialized ANN,filepath : シリアル化されたANNのパス
"Use ANN::save to serialize and store an ANN to disk. Load the ANN from this file again, by calling this function with the path to the file.",ANNをシリアル化してディスクに保存するにはANN::saveを使います。ファイルへのパスを指定してこの関数を呼び出すことで、このファイルから再びANNをロードする。
Type of the boosting algorithm. See Boost::Types. Default value is Boost::REAL.,boostingアルゴリズムのタイプ。Boost::Typesを参照してください。デフォルト値は Boost::REAL です。
See alsosetBoostType,alsosetBoostType を参照してください。
See alsogetBoostType,関連項目： Boost::BoostType。
The number of weak classifiers. Default value is 100.,弱い分類器の数。デフォルト値は100です。
See alsosetWeakCount,alsosetWeakCountを参照してください。
See alsogetWeakCount,alsogetWeakCountを参照してください。
A threshold between 0 and 1 used to save computational time. Samples with summary weight \(\leq 1 - weight_trim_rate\) do not participate in the next iteration of training. Set this parameter to 0 to turn off this functionality. Default value is 0.95.,計算時間を短縮するために使われる0と1の間のしきい値です。summary weight\(1 - weight_trim_rate\)を持つサンプルは、次の反復トレーニングに参加しない。この機能をオフにするには、このパラメータを0に設定します。デフォルト値は0.95です。
See alsosetWeightTrimRate,関連項目： alsosetWeightTrimRate
See alsogetWeightTrimRate,alsogetWeightTrimRateを参照。
"Creates the empty model. Use StatModel::train to train the model, Algorithm::load<Boost>(filename) to load the pre-trained model.",空のモデルを作成します。モデルの学習には StatModel::train を、学習済みのモデルの読み込みには Algorithm::load<Boost>(filename) を使用してください。
Boosted tree classifier derived from DTrees. ,DTrees から派生したブーステッドツリー分類器です。
See alsoBoosting  ,ブースティングの項も参照してください。
"The number of mixture components in the Gaussian mixture model. Default value of the parameter is EM::DEFAULT_NCLUSTERS=5. Some of EM implementation could determine the optimal number of mixtures within a specified value range, but that is not the case in ML yet.",ガウス混合モデルにおける混合成分の数を指定します。このパラメータのデフォルト値はEM::DEFAULT_NCLUSTERS=5です。EMの実装の中には，指定された値の範囲内で最適な混合成分の数を決定できるものもありますが，MLではまだそのようにはなっていません．
See alsosetClustersNumber,関連項目： alsosetClustersNumber
See alsogetClustersNumber,alsogetClustersNumberを参照してください。
Constraint on covariance matrices which defines type of matrices. See EM::Types.,共分散行列に対する制約で、行列の種類を定義します。EM::Typesを参照してください。
See alsosetCovarianceMatrixType,alsosetCovarianceMatrixTypeを参照してください。
See alsogetCovarianceMatrixType,共分散マトリクスタイプを参照してください。
The termination criteria of the EM algorithm. The EM algorithm can be terminated by the number of iterations termCrit.maxCount (number of M-steps) or when relative change of likelihood logarithm is less than termCrit.epsilon. Default maximum number of iterations is EM::DEFAULT_MAX_ITERS=100.,EMアルゴリズムの終了基準。EMアルゴリズムは、反復回数 termCrit.maxCount（Mステップの数）、または尤度対数の相対的な変化が termCrit.epsilonより小さいときに終了させることができます。デフォルトの最大反復数はEM::DEFAULT_MAX_ITERS=100です。
Returns weights of the mixtures.,混合物の重みを返します。
Returns vector with the number of elements equal to the number of mixtures.,混合物の数と同じ数の要素を持つベクトルを返します。
Returns the cluster centers (means of the Gaussian mixture),クラスタ中心（ガウス混合の平均値）を返します。
Returns matrix with the number of rows equal to the number of mixtures and number of columns equal to the space dimensionality.,行数が混合の数に，列数が空間の次元に等しい行列を返します。
Returns covariation matrices.,共分散行列を返します。
"Returns vector of covariation matrices. Number of matrices is the number of gaussian mixtures, each matrix is a square floating-point matrix NxN, where N is the space dimensionality.",共分散行列のベクトルを返します。行列の数はガウス混合の数で、各行列は浮動小数点の正方行列NxN（Nは空間の次元）です。
Returns a likelihood logarithm value and an index of the most probable mixture component for the given sample.,与えられたサンプルに対して，尤度対数の値と，最も確率の高い混合成分のインデックスを返します。
sample : A sample for classification. It should be a one-channel matrix of \(1 \times dims\) or \(dims \times 1\) size.,sample : 分類のためのサンプル．1チャンネルの行列で，サイズは ˶ˆ꒳ˆ˵ / ˶ˆ꒳ˆ˵ です．
probs : Optional output matrix that contains posterior probabilities of each component given the sample. It has \(1 \times nclusters\) size and CV_64FC1 type.,probs : オプションの出力行列で，サンプルが与えられたときの各成分の事後確率を含みます．サイズは ˶ˆ꒳ˆ˵ ) 型は CV_64FC1 です．
The method returns a two-element double vector. Zero element is a likelihood logarithm value for the sample. First element is an index of the most probable mixture component for the given sample.,このメソッドは，2要素のダブルベクトルを返します．0番目の要素は，サンプルに対する尤度対数の値です．1番目の要素は，与えられたサンプルに対して最も確率の高い混合成分のインデックスです．
Estimate the Gaussian mixture parameters from a samples set.,サンプルセットからガウス混合パラメータを推定します。
"samples : Samples from which the Gaussian mixture model will be estimated. It should be a one-channel matrix, each row of which is a sample. If the matrix does not have CV_64F type it will be converted to the inner matrix of such type for the further computing.",samples :ガウス混合モデルが推定されるサンプル．これは1チャンネルの行列で，各行がサンプルである必要があります．この行列が CV_64F 型ではない場合，以降の計算のために，CV_64F 型の内部行列に変換されます．
logLikelihoods : The optional output matrix that contains a likelihood logarithm value for each sample. It has \(nsamples \times 1\) size and CV_64FC1 type.,logLikelihoods : オプションの出力行列で，各サンプルに対する尤度対数値を含みます．CV_64FC1 型で，サイズは ¶ nsamples ¶ times 1 ¶ です．
"labels : The optional output ""class label"" for each sample: \(\texttt{labels}_i=\texttt{arg max}_k(p_{i,k}), i=1..N\) (indices of the most probable mixture component for each sample). It has \(nsamples \times 1\) size and CV_32SC1 type.",labels : 各サンプルの「クラスラベル」が出力されます。\Ms.(各サンプルで最も確率の高い混合成分のインデックス)サイズは ¶ nsamples ¶ times 1 ¶ で，型は CV_32SC1 です．
probs : The optional output matrix that contains posterior probabilities of each Gaussian mixture component given the each sample. It has \(nsamples \times nclusters\) size and CV_64FC1 type.,probs : 各サンプルに対する各ガウス混合成分の事後確率を表すオプションの出力行列です．サイズは nsamples times nclusters\，型は CV_64FC1 です．
"This variation starts with Expectation step. Initial values of the model parameters will be estimated by the k-means algorithm.Unlike many of the ML models, EM is an unsupervised learning algorithm and it does not take responses (class labels or function values) as input. Instead, it computes the Maximum Likelihood Estimate of the Gaussian mixture parameters from an input sample set, stores all the parameters inside the structure: \(p_{i,k}\) in probs, \(a_k\) in means , \(S_k\) in covs[k], \(\pi_k\) in weights , and optionally computes the output ""class label"" for each sample: \(\texttt{labels}_i=\texttt{arg max}_k(p_{i,k}), i=1..N\) (indices of the most probable mixture component for each sample).The trained model can be used further for prediction, just like any other classifier. The trained model is similar to the NormalBayesClassifier.",このバリエーションは，Expectationステップから始まります．多くのMLモデルとは異なり，EMは教師なし学習アルゴリズムであり，入力として応答（クラスラベルや関数値）を受け取りません．多くのMLモデルとは異なり，EMは教師なし学習アルゴリズムであり，入力としてレスポンス（クラスラベルや関数値）を受け取りません．代わりに，入力サンプルセットからガウス混合パラメータの最尤推定値を計算し，すべてのパラメータを構造体の内部に格納します．\そして、オプションとして、各サンプルの「クラスラベル」を計算して出力します。\クラスラベルを計算します。(訓練されたモデルは，他の分類器と同様に，予測のためにさらに使用することができます．学習されたモデルは，NormalBayesClassifierと同様です．
probs0 : the probabilities,probs0 : 確率
"This variation starts with Maximization step. You need to provide initial probabilities \(p_{i,k}\) to use this option.","このバリエーションは，最大化ステップから始まります．このオプションを利用するには，初期確率\(p_{i,k}\)を用意する必要があります．"
"Creates empty EM model. The model should be trained then using StatModel::train(traindata, flags) method. Alternatively, you can use one of the EM::train* methods or load it from file using Algorithm::load<EM>(filename).","空のEMモデルを作成します．StatModel::train(traindata, flags)メソッドを用いてモデルを学習する必要があります。または、EM::train*メソッドを使用するか、Algorithm::load<EM>(filename)を用いてファイルからロードすることもできます。"
The class implements the Expectation Maximization algorithm. ,このクラスは、期待値最大化アルゴリズムを実装しています。
See alsoExpectation Maximization  ,関連項目： 期待値最大化法（Expectation Maximization
Learning rate.,学習率。
See alsosetLearningRate,See alsosetLearningRate
See alsogetLearningRate,alsogetLearningRate を参照してください。
Number of iterations.,イテレーションの数。
See alsosetIterations,alsosetIterationsを参照。
See alsogetIterations,alsogetIterationsを参照。
Kind of regularization to be applied. See LogisticRegression::RegKinds.,適用される正則化の種類。LogisticRegression::RegKindsを参照。
See alsosetRegularization,alsosetRegularizationを参照。
See alsogetRegularization,alsogetRegularizationを参照。
Kind of training method used. See LogisticRegression::Methods.,使用される学習方法の種類。LogisticRegression::Methodsを参照。
See alsosetTrainMethod,alsosetTrainMethodを参照。
See alsogetTrainMethod,alsogetTrainMethodを参照。
Specifies the number of training samples taken in each step of Mini-Batch Gradient Descent. Will only be used if using LogisticRegression::MINI_BATCH training algorithm. It has to take values less than the total number of training samples.,Mini-Batch Gradient Descentの各ステップで取るトレーニングサンプルの数を指定します。LogisticRegression::MINI_BATCH学習アルゴリズムを使用する場合にのみ使用されます。トレーニングサンプルの総数よりも少ない値を取らなければならない。
See alsosetMiniBatchSize,See alsosetMiniBatchSize
See alsogetMiniBatchSize,alsogetMiniBatchSizeを参照。
Termination criteria of the algorithm.,アルゴリズムの終了基準。
Predicts responses for input samples and returns a float type.,入力されたサンプルに対する応答を予測し、float 型で返す。
"samples : The input data for the prediction algorithm. Matrix [m x n], where each row contains variables (features) of one object being classified. Should have data type CV_32F.",samples :予測アルゴリズムの入力データ．行列 [m x n] で，各行には分類される1つのオブジェクトの変数（特徴量）が含まれます．CV_32F というデータ型を持ちます．
results : Predicted labels as a column matrix of type CV_32S.,results : 予測されたラベルを，CV_32S 型の列方向の行列として返します．
flags : Not used.,flags :使用されません．
Implements cv::ml::StatModel.,cv::ml::StatModel を実装しています．
This function returns the trained parameters arranged across rows.,この関数は，学習されたパラメータを列方向に並べて返します．
"For a two class classification problem, it returns a row matrix. It returns learnt parameters of the Logistic Regression as a matrix of type CV_32F.",2クラス分類問題の場合は，行行列が返されます．これは，ロジスティック回帰の学習済みパラメータを CV_32F 型の行列として返します．
Creates Logistic Regression model with parameters given.,与えられたパラメータでロジスティック回帰モデルを作成します．
Implements Logistic Regression classifier. ,ロジスティック回帰分類器を実装します．
See alsoLogistic Regression  ,ロジスティック回帰 も参照してください．
Predicts the response for sample(s).,サンプルの応答を予測します．
"The method estimates the most probable classes for input vectors. Input vectors (one or more) are stored as rows of the matrix inputs. In case of multiple input vectors, there should be one output vector outputs. The predicted class for a single input vector is returned by the method. The vector outputProbs contains the output probabilities corresponding to each element of result.",このメソッドは，入力ベクトルに対して最も確率の高いクラスを推定します．入力ベクトル（1つまたは複数）は，行列inputsの行として格納されます．複数の入力ベクトルがある場合，出力ベクトルは1つでなければなりません．1つの入力ベクトルに対して予測されたクラスが，このメソッドによって返されます．ベクトル outputProbs には、result の各要素に対応する出力確率が含まれています。
Creates empty model Use StatModel::train to train the model after creation.,空のモデルを作成 StatModel::train を使用して、作成後のモデルをトレーニングします。
Bayes classifier for normally distributed data. ,正規分布データに対するベイズ分類器
See alsoNormal Bayes Classifier  ,関連項目： 正規ベイズ分類法
Returns the number of variables in training samples.,トレーニングサンプルの変数の数を返します。
Returns true if the model is trained.,モデルがトレーニングされている場合は true を返します。
Returns true if the model is classifier.,モデルが分類器の場合は true を返します。
Trains the statistical model.,統計モデルを学習します。
samples : training samples,samples : 学習用サンプル
layout : See ml::SampleTypes.,layout :ml::SampleTypesを参照してください。
responses : vector of responses associated with the training samples.,responses : 訓練用サンプルに関連する応答のベクトル．
Predicts response(s) for the provided sample(s),与えられたサンプルに対する応答を予測する
"samples : The input samples, floating-point matrix",samples :入力サンプルを表す浮動小数点型行列．
results : The optional output matrix of results.,results : 結果を表すオプションの出力行列．
"flags : The optional flags, model-dependent. See cv::ml::StatModel::Flags.",flags :モデルに依存したオプションのフラグ．cv::ml::StatModel::Flags を参照してください．
"Implemented in cv::ml::LogisticRegression, and cv::ml::EM.","cv::ml::LogisticRegression, および cv::ml::EM で実装されています．"
Type of a SVM formulation. See SVM::Types. Default value is SVM::C_SVC.,SVM の定式化の種類．SVM::Types を参照してください．デフォルト値は SVM::C_SVC です．
See alsosetType,alsosetType を参照。
See alsogetType,alsogetType を参照してください。
"Parameter \(\gamma\) of a kernel function. For SVM::POLY, SVM::RBF, SVM::SIGMOID or SVM::CHI2. Default value is 1.","カーネル関数のパラメータ ˶ˆ꒳ˆ˵SVM::POLY, SVM::RBF, SVM::SIGMOID または SVM::CHI2 の場合。デフォルト値は 1。"
See alsosetGamma,alsosetGamma を参照。
See alsogetGamma,alsogetGamma を参照。
Parameter coef0 of a kernel function. For SVM::POLY or SVM::SIGMOID. Default value is 0.,カーネル関数のパラメータ coef0。SVM::POLY または SVM::SIGMOID の場合。既定値は0。
See alsosetCoef0,alsosetCoef0 を参照。
See alsogetCoef0,alsogetCoef0 を参照。
Parameter degree of a kernel function. For SVM::POLY. Default value is 0.,カーネル関数のパラメータ degree。SVM::POLY の場合。デフォルトの値は 0。
See alsosetDegree,alsosetDegree を参照。
See alsogetDegree,alsogetDegree 参照。
Parameter \(\epsilon\) of a SVM optimization problem. For SVM::EPS_SVR. Default value is 0.,SVM 最適化問題のパラメータ ˶ˆ꒳ˆ˵ ˶ˆ꒳ˆ˵SVM::EPS_SVR の場合。デフォルト値は 0 です。
"Parameter \(\nu\) of a SVM optimization problem. For SVM::NU_SVC, SVM::ONE_CLASS or SVM::NU_SVR. Default value is 0.","SVM 最適化問題のパラメータ ˶nu˶SVM::NU_SVC, SVM::ONE_CLASS, SVM::NU_SVR の場合。デフォルト値は 0。"
See alsosetNu,alsosetNu を参照。
See alsogetNu,alsogetNu を参照。
See alsogetClassWeights,alsogetClassWeights を参照。
Type of a SVM kernel. See SVM::KernelTypes. Default value is SVM::RBF.,SVM カーネルの種類。SVM::KernelTypes を参照。デフォルト値は SVM::RBF。
Initialize with one of predefined kernels. See SVM::KernelTypes.,定義済みカーネルの1つで初期化。SVM::KernelTypes を参照。
Retrieves all the support vectors.,すべてのサポートベクターを取得。
"The method returns all the support vectors as a floating-point matrix, where support vectors are stored as matrix rows.",このメソッドは，すべてのサポートベクターを浮動小数点型の行列として返します．サポートベクターは行列の行として保存されます．
Retrieves the decision function.,決定関数を検索します．
"i : the index of the decision function. If the problem solved is regression, 1-class or 2-class classification, then there will be just one decision function and the index should always be 0. Otherwise, in the case of N-class classification, there will be \(N(N-1)/2\) decision functions.",i : 決定関数のインデックス．解決する問題が回帰，1クラスまたは2クラス分類の場合，決定関数は1つだけで，インデックスは常に0でなければなりません．そうでない場合，Nクラス分類の場合は，\(N(N-1)/2\)個の決定関数が存在します．
"alpha : the optional output vector for weights, corresponding to different support vectors. In the case of linear SVM all the alpha's will be 1's.",alpha : 異なるサポートベクトルに対応する，重みのオプション出力ベクトルです．線形SVMの場合，αはすべて1になります．
"svidx : the optional output vector of indices of support vectors within the matrix of support vectors (which can be retrieved by SVM::getSupportVectors). In the case of linear SVM each decision function consists of a single ""compressed"" support vector.",svidx : サポートベクターの行列（SVM::getSupportVectors で取得できます）内のサポートベクターのインデックスを表すオプションの出力ベクトルです．線形 SVM の場合，各決定関数は1つの「圧縮された」サポートベクトルで構成されます．
"The method returns rho parameter of the decision function, a scalar subtracted from the weighted sum of kernel responses.",このメソッドは、決定関数の rho パラメータ（カーネル応答の加重和から減算されたスカラー）を返します。
Generates a grid for SVM parameters.,SVM パラメータのグリッドを生成します。
param_id : SVM parameters IDs that must be one of the SVM::ParamTypes. The grid is generated for the parameter with this ID.,param_id : SVM パラメータ ID で、SVM::ParamTypes のいずれかでなければならない。グリッドはこの ID を持つパラメータに対して生成されます。
The function generates a grid for the specified parameter of the SVM algorithm. The grid may be passed to the function SVM::trainAuto.,この関数は SVM アルゴリズムの指定されたパラメータ用のグリッドを生成します。このグリッドは関数 SVM::trainAuto に渡すことができる。
"Creates empty model. Use StatModel::train to train the model. Since SVM has several parameters, you may want to find the best parameters for your problem, it can be done with SVM::trainAuto.",空のモデルを作成します。モデルの学習には StatModel::train を使用します。SVM にはいくつかのパラメータがあるため、問題に最適なパラメータを見つけたい場合は、SVM::trainAuto で行うことができます。
Support Vector Machines. ,サポートベクターマシン。
See alsoSupport Vector Machines  ,関連項目サポートベクターマシン
Loads and creates a serialized svm from a file.,シリアル化された SVM をファイルから読み込み、作成する。
filepath : path to serialized svm,filepath : シリアライズされたSVMのパス
"Use SVM::save to serialize and store an SVM to disk. Load the SVM from this file again, by calling this function with the path to the file.",SVM::save を使用して SVM をシリアル化してディスクに保存する。ファイルへのパスを指定してこの関数を呼び出すことにより、このファイルから再度 SVM を読み込む。
Groups the object candidate rectangles.,オブジェクト候補の矩形をグループ化する。
rectList : Input/output vector of rectangles. Output vector includes retained and grouped rectangles. (The Python list is not modified in place.),rectList : 矩形の入出力ベクトル。出力ベクトルには，保持された矩形とグループ化された矩形が含まれます．(Pythonのリストは，その場では変更されません．)
groupThreshold : Minimum possible number of rectangles minus 1. The threshold is used in a group of rectangles to retain it.,groupThreshold : 最小限可能な矩形数から1を引いた値．この閾値は，グループ化された矩形を保持する際に用いられる．
eps : Relative difference between sides of the rectangles to merge them into a group.,eps :矩形をグループにまとめるための，各矩形の辺の相対的な差．
"The function is a wrapper for the generic function partition . It clusters all the input rectangles using the rectangle equivalence criteria that combines rectangles with similar sizes and similar locations. The similarity is defined by eps. When eps=0 , no clustering is done at all. If \(\texttt{eps}\rightarrow +\inf\) , all the rectangles are put in one cluster. Then, the small clusters containing less than or equal to groupThreshold rectangles are rejected. In each other cluster, the average rectangle is computed and put into the output rectangle list.",この関数は，汎用関数 partition のラッパーです．この関数は，類似したサイズと類似した位置にある矩形を結合する矩形等価基準を用いて，すべての入力矩形をクラスタリングします．この類似性は eps で定義されます．eps=0 の場合，クラスタリングは全く行われません．eps=0 の場合は，クラスタリングは行われません．また，(\{eps}\rightarrow +\inf\) の場合は，すべての長方形が1つのクラスタに入ります．そして，groupThreshold以下の矩形を含む小さなクラスタは拒否されます．他の各クラスタでは，平均的な矩形が計算され，出力矩形リストに入れられます．
Cascade classifier class for object detection. ,オブジェクト検出用のカスケード分類器クラス．
Examples: samples/cpp/facedetect.cpp.,例：samples/cpp/facedetect.cpp.
Checks whether the classifier has been loaded.,分類器が読み込まれたかどうかをチェックします。
Loads a classifier from a file.,ファイルから分類器を読み込みます。
filename : Name of the file from which the classifier is loaded. The file may contain an old HAAR classifier trained by the haartraining application or a new cascade classifier trained by the traincascade application.,filename : 分類器を読み込むファイルの名前．このファイルには，haartrainingアプリケーションで学習された古いHAAR分類器や，traincascadeアプリケーションで学習された新しいカスケード分類器が含まれています．
Detects objects of different sizes in the input image. The detected objects are returned as a list of rectangles.,入力画像中の異なるサイズの物体を検出します．検出されたオブジェクトは，矩形のリストとして返されます．
image : Matrix of the type CV_8U containing an image where objects are detected.,image : オブジェクトが検出された画像を含む CV_8U 型の行列．
"objects : Vector of rectangles where each rectangle contains the detected object, the rectangles may be partially outside the original image.",objects :各矩形が検出されたオブジェクトを含む矩形のベクトル．
scaleFactor : Parameter specifying how much the image size is reduced at each image scale.,scaleFactor : 各画像スケールにおいて，画像サイズをどの程度縮小するかを指定するパラメータ．
minNeighbors : Parameter specifying how many neighbors each candidate rectangle should have to retain it.,minNeighbors :候補となる矩形を保持するために必要な隣接数を指定するパラメータ．
flags : Parameter with the same meaning for an old cascade as in the function cvHaarDetectObjects. It is not used for a new cascade.,flags :古いカスケードに対しては，関数 cvHaarDetectObjects と同じ意味を持つパラメータ．これは，新しいカスケードでは利用されません．
minSize : Minimum possible object size. Objects smaller than that are ignored.,minSize : 可能なオブジェクトの最小サイズ．これよりも小さいオブジェクトは無視されます．
maxSize : Maximum possible object size. Objects larger than that are ignored. If maxSize == minSize model is evaluated on single scale.,maxSize : 可能な最大オブジェクトサイズ．それより大きいオブジェクトは無視される．maxSize == minSize の場合，モデルはシングルスケールで評価されます．
The function is parallelized with the TBB library.Note,この関数は，TBB ライブラリを用いて並列化されています．
(Python) A face detection example using cascade classifiers can be found at opencv_source_code/samples/python/facedetect.pyExamples: samples/cpp/facedetect.cpp.,(Python) カスケード分類器を用いた顔検出の例は，opencv_source_code/samples/python/facedetect.pyExamples: samples/cpp/facedetect.cppに掲載されています．
Implementation of HOG (Histogram of Oriented Gradients) descriptor and object detector. ,HOG (Histogram of Oriented Gradients) ディスクリプタとオブジェクト検出器の実装．
the HOG descriptor algorithm introduced by Navneet Dalal and Bill Triggs [50] .,Navneet DalalとBill Triggsによって紹介されたHOGディスクリプタアルゴリズム[50]を使用しています．
useful links:,便利なリンク集です．
https://hal.inria.fr/inria-00548512/document/,https://hal.inria.fr/inria-00548512/document/
https://en.wikipedia.org/wiki/Histogram_of_oriented_gradients,https://en.wikipedia.org/wiki/Histogram_of_oriented_gradients
https://software.intel.com/en-us/ipp-dev-reference-histogram-of-oriented-gradients-hog-descriptor,https://software.intel.com/en-us/ipp-dev-reference-histogram-of-oriented-gradients-hog-descriptor
http://www.learnopencv.com/histogram-of-oriented-gradients,http://www.learnopencv.com/histogram-of-oriented-gradients
http://www.learnopencv.com/handwritten-digits-classification-an-opencv-c-python-tutorial ,http://www.learnopencv.com/handwritten-digits-classification-an-opencv-c-python-tutorial
"Examples: samples/cpp/peopledetect.cpp, samples/cpp/train_HOG.cpp, and samples/tapi/hog.cpp.",例：samples/cpp/peopledetect.cpp，samples/cpp/train_HOG.cpp，samples/tapi/hog.cpp．
Returns the number of coefficients required for the classification.,分類に必要な係数の数を返します．
Checks if detector size equal to descriptor size.,検出器のサイズが記述子のサイズと等しいかどうかをチェックします．
Returns winSigma value.,winSigma の値を返します．
Sets coefficients for the linear SVM classifier.,線形SVM分類器の係数を設定します。
svmdetector : coefficients for the linear SVM classifier.,svmdetector : 線形 SVM 分類器の係数を設定。
loads HOGDescriptor parameters and coefficients for the linear SVM classifier from a file.,HOGDescriptor のパラメータと線形 SVM 分類器の係数をファイルから読み込む。
filename : Path of the file to read.,filename : 読み込むファイルのパス。
"objname : The optional name of the node to read (if empty, the first top-level node will be used).",objname : 読み込むノードのオプション名（空の場合は、最初のトップレベルノードが使用されます）。
saves HOGDescriptor parameters and coefficients for the linear SVM classifier to a file,HOGDescriptorのパラメータと線形SVM分類器の係数をファイルに保存します。
filename : File name,filename : ファイル名
objname : Object name,objname : オブジェクト名
Computes HOG descriptors of given image.,与えられた画像の HOG ディスクリプタを計算します．
img : Matrix of the type CV_8U containing an image where HOG features will be calculated.,img : HOG特徴量が計算される画像を含むCV_8U型の行列．
descriptors : Matrix of the type CV_32F,descriptors :CV_32F 型の行列．
winStride : Window stride. It must be a multiple of block stride.,winStride : ウィンドウのストライド．ブロックのストライドの倍数である必要があります．
padding : Padding,padding : パディング．
locations : Vector of Point,location :Pointのベクトル．
Performs object detection without a multi-scale window.,マルチスケールウィンドウを利用せずに，物体検出を行います．
img : Matrix of the type CV_8U or CV_8UC3 containing an image where objects are detected.,img : CV_8U または CV_8UC3 型の行列で，物体が検出される画像を含みます．
foundLocations : Vector of point where each point contains left-top corner point of detected object boundaries.,foundLocations :検出されたオブジェクトの境界の左上隅を含む点のベクトル．
"hitThreshold : Threshold for the distance between features and SVM classifying plane. Usually it is 0 and should be specified in the detector coefficients (as the last free coefficient). But if the free coefficient is omitted (which is allowed), you can specify it manually here.",hitThreshold : 特徴量とSVM分類平面との距離を表す閾値．通常は0であり，検出器の係数に（最後の自由係数として）指定されるべきである．しかし，自由係数が省略されている場合（これは許される），ここで手動で指定することができます．
searchLocations : Vector of Point includes locations to search.,searchLocations :Pointのベクトルは，検索する場所を含みます．
weights : Vector that will contain confidence values for each detected object.,weights : 検出された各オブジェクトの信頼値を含むベクター。
searchLocations : Vector of Point includes set of requested locations to be evaluated.,searchLocations :Pointのベクターには、評価されるべき要求された場所のセットが含まれます。
foundLocations : Vector of rectangles where each rectangle contains the detected object.,foundLocations :findLocations : 各矩形が検出されたオブジェクトを含む矩形のベクトル。
foundWeights : Vector that will contain confidence values for each detected object.,foundWeights : 検出された各オブジェクトの信頼値を含むベクトル。
scale : Coefficient of the detection window increase.,scale : 検出窓の増加係数．
finalThreshold : Final threshold,finalThreshold : 最終的な閾値
useMeanshiftGrouping : indicates grouping algorithm,useMeanshiftGrouping : グルーピングアルゴリズムを示す
Computes gradients and quantized gradient orientations.,グラデーションと量子化されたグラデーションの向きを計算します．
img : Matrix contains the image to be computed,img : 計算対象となる画像を含む行列．
grad : Matrix of type CV_32FC2 contains computed gradients,grad : CV_32FC2 型の行列で，計算されたグラデーションが格納されています．
angleOfs : Matrix of type CV_8UC2 contains quantized gradient orientations,angleOfs : CV_8UC2 型の行列で，量子化されたグラデーションの向きを表します．
paddingTL : Padding from top-left,paddingTL : 左上からのパディング
paddingBR : Padding from bottom-right,paddingBR : 右下からのパディング
evaluate specified ROI and return confidence value for each location,指定されたROIを評価し，各位置に対する信頼値を返す
foundLocations : Vector of Point where each Point is detected object's top-left point.,foundLocations :検出された物体の左上の点を示すPointのベクトル
confidences : confidences,confidences : 信頼度
"hitThreshold : Threshold for the distance between features and SVM classifying plane. Usually it is 0 and should be specified in the detector coefficients (as the last free coefficient). But if the free coefficient is omitted (which is allowed), you can specify it manually here",hitThreshold : 特徴量とSVM分類面との距離の閾値。通常は0であり，検出器の係数に（最後の自由係数として）指定されるべきである．しかし、自由係数が省略されている場合（これは許可されている）、ここで手動で指定することができます。
winStride : winStride,winStride : winStride
padding : padding,padding : パディング
evaluate specified ROI and return confidence value for each location in multiple scales,指定されたROIを評価し、各位置の信頼値を複数のスケールで返す
locations : Vector of DetectionROI,location :検出ROIのベクトル
